site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
180,13.221,-87.335,1,0,0,0,0
181,13.223,-87.313,1,0,0,0,0
182,13.228,-87.161,1,0,1,0,5
183,13.234,-87.166,1,0,0,0,0
184,13.234,-87.164,1,0,0,0,0
190,13.225,-87.157,1,0,0,0,0
192,13.227,-87.158,1,0,0,0,0
193,13.227,-87.148,1,0,0,0,0
194,13.228,-87.151,1,0,0,0,0
195,13.232,-86.988,1,0,0,0,0
199,13.244,-87.356,1,0,0,0,0
200,13.245,-87.355,1,0,0,0,0
206,13.242,-87.341,1,0,0,0,0
207,13.243,-87.343,1,0,0,0,0
209,13.245,-87.346,1,0,1,0,1
210,13.245,-87.348,1,0,0,0,0
211,13.248,-87.353,1,0,0,0,0
212,13.235,-87.321,1,0,0,0,0
213,13.248,-87.321,1,0,0,0,0
216,13.239,-87.167,1,0,0,0,0
223,13.257,-87.343,1,0,0,0,0
224,13.257,-87.351,1,0,0,0,0
229,13.254,-87.332,1,0,0,0,0
230,13.256,-87.338,1,0,0,0,0
231,13.26,-87.339,1,0,0,0,0
232,13.253,-87.309,1,0,0,0,0
234,13.263,-87.291,1,0,0,0,0
235,13.252,-87.176,1,0,0,0,0
240,13.263,-87.173,1,0,0,0,0
242,13.26,-87.087,1,0,0,0,0
244,13.251,-86.971,1,0,0,0,0
245,13.258,-86.979,1,0,0,0,0
246,13.258,-86.953,1,0,0,0,0
251,13.268,-87.335,1,0,0,0,0
252,13.269,-87.333,1,0,0,0,0
263,13.268,-87.324,1,0,0,0,0
265,13.275,-87.296,1,0,0,0,0
267,13.274,-87.289,1,0,0,0,0
268,13.272,-87.277,1,0,0,0,0
269,13.268,-87.178,1,0,0,0,0
270,13.27,-87.178,1,0,0,0,0
272,13.275,-87.177,1,0,0,0,0
276,13.278,-87.174,1,0,0,0,0
277,13.279,-87.174,1,0,0,0,0
278,13.28,-87.172,1,0,0,0,0
280,13.275,-87.006,1,0,1,0,5
281,13.267,-86.968,1,0,0,0,0
282,13.268,-86.92,1,0,0,0,0
283,13.267,-86.881,1,0,0,0,0
284,13.27,-86.881,1,0,1,0,3
300,13.29,-87.508,1,0,0,0,0
301,13.29,-87.508,1,0,0,0,0
302,13.29,-87.508,1,0,0,0,0
303,13.282,-87.325,1,0,0,0,0
305,13.284,-87.318,1,0,0,0,0
306,13.29,-87.315,1,0,0,0,0
308,13.289,-87.298,1,0,0,0,0
309,13.29,-87.301,1,0,0,0,0
311,13.29,-87.297,1,0,0,0,0
312,13.294,-87.296,1,0,0,0,0
315,13.291,-87.291,1,0,0,0,0
316,13.291,-87.284,1,0,0,0,0
317,13.292,-87.286,1,0,0,0,0
319,13.29,-87.273,1,0,0,0,0
321,13.289,-87.264,1,0,0,0,0
324,13.291,-87.247,1,0,0,0,0
325,13.292,-87.239,1,0,0,0,0
326,13.295,-87.241,1,0,0,0,0
331,13.291,-87.217,1,0,0,0,0
334,13.294,-87.214,1,0,0,0,0
335,13.294,-87.216,1,0,0,0,0
340,13.282,-87.196,1,0,0,0,0
343,13.286,-87.205,1,0,0,0,0
344,13.286,-87.205,1,0,0,0,0
345,13.286,-87.205,1,0,0,0,0
351,13.288,-87.195,1,0,0,0,0
354,13.289,-87.195,1,0,0,0,0
355,13.29,-87.197,1,0,0,0,0
368,13.294,-87.191,1,0,0,0,0
373,13.295,-87.192,1,0,0,0,0
376,13.282,-87.182,1,0,0,0,0
382,13.284,-87.188,1,0,0,0,0
386,13.287,-87.182,1,0,0,0,0
387,13.289,-87.179,1,0,0,0,0
390,13.289,-87.178,1,0,0,0,0
391,13.289,-87.186,1,0,0,0,0
394,13.29,-87.187,1,0,0,0,0
397,13.291,-87.178,1,0,0,0,0
401,13.293,-87.179,1,0,0,0,0
402,13.293,-87.179,1,0,0,0,0
404,13.294,-87.186,1,0,0,0,0
405,13.294,-87.187,1,0,0,0,0
411,13.294,-87.181,1,0,0,0,0
413,13.295,-87.179,1,0,0,0,0
414,13.28,-87.173,1,0,0,0,0
415,13.28,-87.173,1,0,0,0,0
417,13.281,-87.171,1,0,0,0,0
418,13.282,-87.17,1,0,0,0,0
421,13.283,-87.172,1,0,0,0,0
428,13.286,-87.165,1,0,0,0,0
435,13.291,-87.152,1,0,0,0,0
437,13.291,-87.158,1,0,0,0,0
438,13.292,-87.158,1,0,0,0,0
440,13.293,-87.157,1,0,0,0,0
441,13.294,-87.159,1,0,0,0,0
442,13.286,-87.026,1,0,0,0,0
443,13.288,-87.03,1,0,0,0,0
447,13.289,-87.034,1,0,0,0,0
