id,name,lat,lon,dept,municipio,connected,year,had_dev,got_dev
162000093,OCTAVIO PERDOMO SABILLON,15.12311596,-88.4879921,Santa Bárbara,San Luis,1,5,0,1
162000043,JARDIN DE NIÑOS ABOGADO RAMON CALIX FIGUEROA,15.15450082,-88.47094923,Santa Bárbara,San Luis,1,5,0,1
162000006,DIONISIO DE HERRERA,15.15206289,-88.46918293,Santa Bárbara,San Luis,1,5,1,0
162000017,RENE SABILLON FERNANDEZ,15.15837394,-88.46328932,Santa Bárbara,San Luis,1,5,0,1
162000074,LUZ Y SABER,15.12928672,-88.46764877,Santa Bárbara,San Luis,1,5,1,0
162000034,ESCUELA REPUBLICA DE MARRUECOS,15.12462204,-88.43966599,Santa Bárbara,San Luis,1,5,0,1
162000042,JARDIN DE NIÑOS RAFAEL BARDALES BUESO,15.12790527,-88.43790166,Santa Bárbara,San Luis,1,5,0,1
162000055,FRANCISCO GUZMAN,15.12242868,-88.4363481,Santa Bárbara,San Luis,1,5,0,1
162000028,MODESTO RODAS ALVARADO,15.1310057,-88.43218148,Santa Bárbara,San Luis,1,5,0,1
162000029,LA ESPERANZA,15.14817535,-88.44553873,Santa Bárbara,San Luis,1,5,0,1
162000151,MI SEGUNDO HOGAR,15.16671215,-88.45558522,Santa Bárbara,San Luis,1,5,1,0
162000105,EL FUTURO,15.1677465,-88.4465465,Santa Bárbara,San Luis,1,5,0,1
162000036,VICENTA PAZ,15.18365851,-88.44872099,Santa Bárbara,San Luis,1,5,0,1
162000040,NERY RIVERA ZALDIVAR,15.1903071,-88.43944964,Santa Bárbara,San Luis,1,5,0,1
162100032,JOSE TRINIDAD REYES,15.23989109,-88.45373217,Santa Bárbara,San Marcos,1,5,0,1
162100015,EL RENACIMIENTO,15.24547921,-88.46033397,Santa Bárbara,San Marcos,1,5,0,1
162100016,EL PROGRESO,15.2356082,-88.46741539,Santa Bárbara,San Marcos,1,5,1,0
162100011,REPUBLICA DE ETIOPIA,15.22893069,-88.45879549,Santa Bárbara,San Marcos,1,5,1,0
162100006,DIONISIO DE HERRERA,15.2176361,-88.45266715,Santa Bárbara,San Marcos,1,5,0,1
162100023,REP. DE BOLIVIA,15.21841599,-88.48272048,Santa Bárbara,San Marcos,1,5,1,0
162100003,PEDRO NUFIO,15.26080753,-88.43104664,Santa Bárbara,San Marcos,1,5,1,0
162100081,RUBEN BERRIOS,15.260917,-88.43088911,Santa Bárbara,San Marcos,1,5,0,1
162100017,MODESTO RODAS ALVARADO,15.20732091,-88.40464063,Santa Bárbara,San Marcos,1,5,0,1
162100007,JOSE TRINIDAD REYES,15.22087281,-88.3940159,Santa Bárbara,San Marcos,1,5,1,0
162100018,OSCAR ALFONSO MEJIA,15.22071199,-88.38787095,Santa Bárbara,San Marcos,1,5,0,1
162100009,ESCUELA RURAL MIXTA JUAN LINDO,15.2426896,-88.39880519,Santa Bárbara,San Marcos,1,5,1,0
162100013,FROYLAN TURCIOS,15.22400431,-88.37575347,Santa Bárbara,San Marcos,1,5,1,0
162100005,REPUBLICA DE HONDURAS,15.23823334,-88.33955633,Santa Bárbara,San Marcos,1,5,0,1
162100008,FILADELFO RAPALO,15.25392926,-88.34937595,Santa Bárbara,San Marcos,1,5,1,0
162100028,TEOFILO CASTILLO,15.25040189,-88.3661679,Santa Bárbara,San Marcos,1,5,0,1
162100084,MARTHA CONCEPCION DE GUEVARA,15.26601034,-88.37233958,Santa Bárbara,San Marcos,1,5,0,1
162100010,JUAN RAMON MOLINA,15.27688565,-88.3240089,Santa Bárbara,San Marcos,1,5,0,1
161500012,JOSE TRINIDAD CABAÑAS,15.25438486,-88.31990153,Santa Bárbara,Petoa,1,5,0,1
161500029,MANUEL CABALLERO CARDONA,15.26910137,-88.28707789,Santa Bárbara,Petoa,1,5,0,1
161500024,LUZ Y AMOR,15.27341154,-88.28418033,Santa Bárbara,Petoa,1,5,0,1
161500002,PATRIA Y TRABAJO,15.27600881,-88.26297468,Santa Bárbara,Petoa,1,5,0,1
161500022,MANUEL F. RODRIGUEZ,15.26884251,-88.28808194,Santa Bárbara,Petoa,1,5,1,0
161500011,JOSE CECILIO DEL VALLE,15.23685304,-88.27546752,Santa Bárbara,Petoa,1,5,0,1
161500017,REPUBLICA DE HONDURAS,15.24578189,-88.26940441,Santa Bárbara,Petoa,1,5,1,0
161500025,FRANCISCO MORAZAN,15.24500939,-88.26854322,Santa Bárbara,Petoa,1,5,0,1
162600028,MIGUEL ANGEL LOPEZ,15.21844887,-88.26597299,Santa Bárbara,Trinidad,1,5,1,0
161500005,MIGUEL PAZ BARAHONA,15.22928816,-88.30053933,Santa Bárbara,Petoa,1,5,0,1
161500018,FRANCISCO BU PEREZ,15.22659154,-88.32272579,Santa Bárbara,Petoa,1,5,0,1
161500007,JUAN RAMON MOLINA,15.24380365,-88.32239578,Santa Bárbara,Petoa,1,5,1,0
161500004,SERAFINA RIVERA V. DE VILLAMIL,15.20539204,-88.32938866,Santa Bárbara,Petoa,1,5,1,0
162600011,ABRAHAM MADRID,15.18517894,-88.30344276,Santa Bárbara,Trinidad,1,5,1,0
162600023,MARCO A SOTO,15.19156091,-88.28608537,Santa Bárbara,Trinidad,1,5,1,0
162600068,BRISAS DEL OCOTAL,15.1637804,-88.26106808,Santa Bárbara,Trinidad,1,5,0,1
162600008,LADISLAO PAZ,15.17959629,-88.27918124,Santa Bárbara,Trinidad,1,5,1,0
162600057,SAUL BENJAMIN MORENO,15.18062859,-88.27566921,Santa Bárbara,Trinidad,1,5,0,1
162600013,ENCARNACION MEJIA,15.1680576,-88.28795341,Santa Bárbara,Trinidad,1,5,1,0
162600006,LEMPIRA,15.15172229,-88.28348059,Santa Bárbara,Trinidad,1,5,1,0
162600032,GILBERTO SABILLON,15.15177643,-88.26105278,Santa Bárbara,Trinidad,1,5,0,1
162600014,PABLO PEREZ MURIILLO,15.15505278,-88.26030906,Santa Bárbara,Trinidad,1,5,1,0
162600020,BALBINO PINEDA,15.13575968,-88.26253991,Santa Bárbara,Trinidad,1,5,1,0
162600003,DIONISIO DE HERRERA,15.12131724,-88.24912033,Santa Bárbara,Trinidad,1,5,0,1
162600007,MANUEL RIVERA,15.14067452,-88.27584842,Santa Bárbara,Trinidad,1,5,0,1
162600029,REPUBLICA DE PORTUGAL,15.12650399,-88.30071065,Santa Bárbara,Trinidad,1,5,1,0
162600022,PERFECTO H BOBADILLA,15.14503341,-88.30396914,Santa Bárbara,Trinidad,1,5,0,1
162600026,ZENON PEREZ,15.16124713,-88.31527359,Santa Bárbara,Trinidad,1,5,0,1
161900024,LAUREANO GARCIA P,15.13948016,-88.33086555,Santa Bárbara,San José de Colinas,1,5,0,1
161900011,FRANCISCO MORAZAN,15.14098384,-88.32108541,Santa Bárbara,San José de Colinas,1,5,1,0
161900037,JOSE LEMPIRA RODRIGUEZ,15.13423673,-88.34017534,Santa Bárbara,San José de Colinas,1,5,1,0
161900006,GILBERTO ORLANDO LANZA,15.14537605,-88.3607739,Santa Bárbara,San José de Colinas,1,5,0,1
161900015,REPUBLICA DEL PERU,15.15883666,-88.37242766,Santa Bárbara,San José de Colinas,1,5,0,1
161900032,REPUBLICA DE BELICE,15.1572434,-88.34885399,Santa Bárbara,San José de Colinas,1,5,0,1
162600016,JOSE TRINIDAD CABAÐAS,15.17655699,-88.35229915,Santa Bárbara,Trinidad,1,5,0,1
162600025,JUAN LINDO,15.19933631,-88.36406072,Santa Bárbara,Trinidad,1,5,0,1
162000039,ESCUELA MARIO EUGENIO BAIDE,15.17205786,-88.38761795,Santa Bárbara,San Luis,1,5,0,1
162000016,FRANCISCO MORAZAN,15.19298727,-88.40725426,Santa Bárbara,San Luis,1,5,1,0
162000094,INES CARTAGENA,15.18433132,-88.42114844,Santa Bárbara,San Luis,1,5,0,1
162000030,ESCUELA REPUBLICA DE SUDAFRICA,15.17492991,-88.40548731,Santa Bárbara,San Luis,1,5,0,1
161900017,JUAN PAZ RIVERA,15.14203257,-88.41069507,Santa Bárbara,San José de Colinas,1,5,1,0
161900025,MARCO AURELIO SOTO,15.15369645,-88.38820543,Santa Bárbara,San José de Colinas,1,5,1,0
161900026,JOSE TRINIDA REYES,15.13660461,-88.38517218,Santa Bárbara,San José de Colinas,1,5,0,1
162000023,RENOVACION,15.10561222,-88.39664732,Santa Bárbara,San Luis,1,5,0,1
